qid,scenario,type,question,as_of,gold_answer,answer,auto_verdict,auto_reason,human_verdict,human_note,gold_evidence,retrieved,gold_evidence_recall,latency_ms,tokens_in,tokens_out,error
Q008,pet,fact_recall,3月20日豆包去医院做了什么？,2026-03-31T20:00:00,打狂犬疫苗的年度加强针。,"根据记忆中的记录：
[2026-03-09T10:30:00] 陈屿：带豆包去安康动物医院看软便了，挂的刘医生。
[2026-03-27T10:15:00] 陈屿：带豆包回安康动物医院复查肠胃。
[2026-03-02T16:15:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-04T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-07T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-09T16:18:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-12T16:14:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-16T16:17:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。",错,缺少关键事实：疫苗、(狂犬),,,pet-d19-01 pet-d19-02,pet-d08-01 pet-d26-01 pet-d01-03 pet-d03-03 pet-d06-03 pet-d08-05 pet-d11-01 pet-d15-01,0.0,1.02,14,201,
Q017,pet,temporal_locate,上周三早上陈屿记录了豆包吃粮的什么情况？,2026-03-27T20:00:00,七天过渡期结束，豆包已经在吃纯渴望成犬粮。,"根据记忆中的记录：
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-02T07:40:00] 陈屿：豆包早饭吃的还是皇家幼犬粮，一直吃这个牌子。
[2026-03-09T11:00:00] 刘医生：肠胃有点敏感，不是感染，先吃一周益生菌，粮也可以考虑换个低敏的。
[2026-03-04T07:57:00] 陈屿：早上遛了四十分钟，绕着小区走了两圈。
[2026-03-13T07:55:00] 陈屿：早上遛了四十分钟，绕着小区走了两圈。
[2026-03-16T07:49:00] 陈屿：早上遛了四十分钟，绕着小区走了两圈。
[2026-03-18T07:50:00] 陈屿：早上遛了四十分钟，绕着小区走了两圈。
[2026-03-20T07:56:00] 陈屿：早上遛了四十分钟，绕着小区走了两圈。",对,命中全部关键事实,,,pet-d17-01,pet-d17-01 pet-d01-01 pet-d08-02 pet-d03-05 pet-d12-04 pet-d15-02 pet-d17-04 pet-d19-04,1.0,1.11,20,217,
Q018,pet,temporal_locate,3月21日晚上陈屿对豆包的喂食量做了什么调整？,2026-03-31T20:00:00,因为刘医生说偏瘦，每顿从 80 克加到 100 克。,"根据记忆中的记录：
[2026-03-03T07:30:00] 陈屿：一直是早晚两顿，一顿 80 克，用量杯量的。
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-30T16:21:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-08T18:33:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-14T18:34:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-15T18:47:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-21T18:38:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-22T18:33:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。",错,缺少关键事实：100,,,pet-d20-01,pet-d02-01 pet-d04-01 pet-d29-02 pet-d07-04 pet-d13-03 pet-d14-02 pet-d20-04 pet-d21-02,0.0,1.29,22,216,
Q019,pet,temporal_locate,3月23日晚上豆包做了什么？,2026-03-31T20:00:00,学会了握手，教了三天，一说'握手'就抬爪子。,"根据记忆中的记录：
[2026-03-08T18:33:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-14T18:34:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-15T18:47:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-21T18:38:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-22T18:33:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-27T18:43:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-28T18:44:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。
[2026-03-31T18:38:00] 陈屿：晚上遛弯遇到楼下那只金毛，两个狗玩疯了。",错,缺少关键事实：握手,,,pet-d22-01,pet-d07-04 pet-d13-03 pet-d14-02 pet-d20-04 pet-d21-02 pet-d26-04 pet-d27-02 pet-d30-04,0.0,0.54,13,211,
Q020,pet,temporal_locate,3月9日上午豆包在医院称的体重是多少？,2026-03-31T20:00:00,9.2 公斤。,"根据记忆中的记录：
[2026-03-27T10:40:00] 刘医生：恢复得不错，益生菌可以停了。体重 10.1 公斤，这一个月长了差不多一公斤。
[2026-03-09T10:30:00] 陈屿：带豆包去安康动物医院看软便了，挂的刘医生。
[2026-03-27T10:15:00] 陈屿：带豆包回安康动物医院复查肠胃。
[2026-03-20T10:20:00] 刘医生：疫苗打完了，观察半小时没反应就可以走。体重 9.5 公斤，比上次长了点。
[2026-03-09T11:10:00] 刘医生：顺便称了一下，9.2 公斤，这个月龄偏瘦一点点。
[2026-03-28T07:40:00] 陈屿：渴望这个粮吃了半个多月，便便一直是成型的，挺合适。
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-09T19:31:00] 陈屿：给豆包梳了梳毛，掉毛季地上全是。",对,命中全部关键事实,,,pet-d08-03,pet-d26-02 pet-d08-01 pet-d26-01 pet-d19-02 pet-d08-03 pet-d27-01 pet-d17-01 pet-d08-06,1.0,0.73,19,237,
Q029,pet,fact_change,豆包现在吃的是什么牌子的粮？,2026-03-31T20:00:00,渴望成犬粮。,"根据记忆中的记录：
[2026-03-02T07:40:00] 陈屿：豆包早饭吃的还是皇家幼犬粮，一直吃这个牌子。
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-26T07:35:00] 陈屿：现在一顿 100 克，它吃完还盯着碗看。
[2026-03-28T07:40:00] 陈屿：渴望这个粮吃了半个多月，便便一直是成型的，挺合适。
[2026-03-09T11:00:00] 刘医生：肠胃有点敏感，不是感染，先吃一周益生菌，粮也可以考虑换个低敏的。
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-07T21:20:00] 陈屿：这两天便便有点软，不知道是不是皇家这袋粮不对付。
[2026-03-23T19:00:00] 陈屿：豆包今天学会握手了，教了三天，一说'握手'就把爪子抬起来。",错,把已失效的旧值当成现行事实陈述：皇家,,,pet-d10-01 pet-d27-01,pet-d01-01 pet-d17-01 pet-d25-01 pet-d27-01 pet-d08-02 pet-d04-01 pet-d06-01 pet-d22-01,0.5,0.55,14,246,
Q030,pet,fact_change,豆包现在每顿喂多少克？,2026-03-31T20:00:00,每顿 100 克，每天两顿。,"根据记忆中的记录：
[2026-03-21T19:10:00] 陈屿：刘医生说豆包偏瘦，让加量，从今天起每顿从 80 克加到 100 克。
[2026-03-26T07:35:00] 陈屿：现在一顿 100 克，它吃完还盯着碗看。
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-03T07:30:00] 陈屿：一直是早晚两顿，一顿 80 克，用量杯量的。
[2026-03-24T15:00:00] 陈屿：同事想喂豆包鸡胸肉干，我赶紧拦下了，它鸡肉过敏。
[2026-03-04T22:13:00] 陈屿：豆包睡在它自己的窝里，打呼噜。
[2026-03-05T22:11:00] 陈屿：豆包睡在它自己的窝里，打呼噜。
[2026-03-06T22:17:00] 陈屿：豆包睡在它自己的窝里，打呼噜。",错,把已失效的旧值当成现行事实陈述：80,,,pet-d20-01 pet-d25-01,pet-d20-01 pet-d25-01 pet-d17-01 pet-d02-01 pet-d23-01 pet-d03-01 pet-d04-04 pet-d05-04,1.0,0.51,11,202,
Q031,pet,fact_change,豆包最新一次称重是多少？,2026-03-31T20:00:00,10.1 公斤（3 月 27 日复查时称的）。,"根据记忆中的记录：
[2026-03-20T10:00:00] 陈屿：今天带豆包去打狂犬疫苗，一年一次的加强针。
[2026-03-27T10:40:00] 刘医生：恢复得不错，益生菌可以停了。体重 10.1 公斤，这一个月长了差不多一公斤。
[2026-03-28T07:40:00] 陈屿：渴望这个粮吃了半个多月，便便一直是成型的，挺合适。
[2026-03-20T10:20:00] 刘医生：疫苗打完了，观察半小时没反应就可以走。体重 9.5 公斤，比上次长了点。
[2026-03-09T11:10:00] 刘医生：顺便称了一下，9.2 公斤，这个月龄偏瘦一点点。
[2026-03-02T07:40:00] 陈屿：豆包早饭吃的还是皇家幼犬粮，一直吃这个牌子。
[2026-03-09T19:31:00] 陈屿：给豆包梳了梳毛，掉毛季地上全是。
[2026-03-10T19:29:00] 陈屿：给豆包梳了梳毛，掉毛季地上全是。",错,把已失效的旧值当成现行事实陈述：9.2、9.5,,,pet-d26-02,pet-d19-01 pet-d26-02 pet-d27-01 pet-d19-02 pet-d08-03 pet-d01-01 pet-d08-06 pet-d09-03,1.0,0.54,12,239,
Q032,pet,fact_change,截至3月16日，豆包每顿的喂食量是多少？,2026-03-16T20:00:00,每顿 80 克（3 月 21 日才加到 100 克）。,"根据记忆中的记录：
[2026-03-03T07:30:00] 陈屿：一直是早晚两顿，一顿 80 克，用量杯量的。
[2026-03-07T20:16:00] 陈屿：刷牙的时候它躲，只刷了前面几颗。
[2026-03-09T11:10:00] 刘医生：顺便称了一下，9.2 公斤，这个月龄偏瘦一点点。
[2026-03-11T11:00:00] 陈屿：决定换粮了，皇家幼犬粮停掉，改喂渴望成犬粮，按七天过渡法慢慢换。
[2026-03-04T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-07T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-03T13:16:00] 陈屿：中午太阳好，它趴在阳台上睡了一下午。",对,命中现行事实，且未把旧值当成现行,,,pet-d02-01,pet-d02-01 pet-d06-02 pet-d08-03 pet-d10-01 pet-d03-03 pet-d06-03 pet-d04-01 pet-d02-02,1.0,0.35,19,223,
Q041,pet,cross_session,豆包从第一次称重到最后一次称重，体重长了多少？,2026-03-31T20:00:00,从 9.2 公斤长到 10.1 公斤，涨了约 0.9 公斤。,"根据记忆中的记录：
[2026-03-27T10:40:00] 刘医生：恢复得不错，益生菌可以停了。体重 10.1 公斤，这一个月长了差不多一公斤。
[2026-03-20T10:20:00] 刘医生：疫苗打完了，观察半小时没反应就可以走。体重 9.5 公斤，比上次长了点。
[2026-03-20T10:00:00] 陈屿：今天带豆包去打狂犬疫苗，一年一次的加强针。
[2026-03-21T19:10:00] 陈屿：刘医生说豆包偏瘦，让加量，从今天起每顿从 80 克加到 100 克。
[2026-03-09T11:10:00] 刘医生：顺便称了一下，9.2 公斤，这个月龄偏瘦一点点。
[2026-03-28T07:40:00] 陈屿：渴望这个粮吃了半个多月，便便一直是成型的，挺合适。
[2026-03-05T12:36:00] 陈屿：豆包又把玩具球叼到沙发底下去了，够了半天才拿出来。
[2026-03-09T12:36:00] 陈屿：豆包又把玩具球叼到沙发底下去了，够了半天才拿出来。",错,缺少关键事实：(0.9|0.90),,,pet-d08-03 pet-d19-02 pet-d26-02,pet-d26-02 pet-d19-02 pet-d19-01 pet-d20-01 pet-d08-03 pet-d27-01 pet-d04-03 pet-d08-04,1.0,0.69,23,262,
Q042,pet,cross_session,豆包为什么换粮？换粮前后分别吃的是什么？,2026-03-31T20:00:00,因为软便、肠胃敏感（3 月 9 日就诊后刘医生建议换低敏粮），从皇家幼犬粮换成渴望成犬粮。,"根据记忆中的记录：
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-02T07:40:00] 陈屿：豆包早饭吃的还是皇家幼犬粮，一直吃这个牌子。
[2026-03-11T11:00:00] 陈屿：决定换粮了，皇家幼犬粮停掉，改喂渴望成犬粮，按七天过渡法慢慢换。
[2026-03-09T11:00:00] 刘医生：肠胃有点敏感，不是感染，先吃一周益生菌，粮也可以考虑换个低敏的。
[2026-03-28T07:40:00] 陈屿：渴望这个粮吃了半个多月，便便一直是成型的，挺合适。
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-07T21:20:00] 陈屿：这两天便便有点软，不知道是不是皇家这袋粮不对付。
[2026-03-09T19:31:00] 陈屿：给豆包梳了梳毛，掉毛季地上全是。",对,命中全部关键事实,,,pet-d06-01 pet-d08-02 pet-d10-01,pet-d17-01 pet-d01-01 pet-d10-01 pet-d08-02 pet-d27-01 pet-d04-01 pet-d06-01 pet-d08-06,1.0,0.68,20,251,
Q043,pet,cross_session,豆包这个月去过几次宠物医院？分别是为什么？,2026-03-31T20:00:00,3 次：3 月 9 日看软便、3 月 20 日打狂犬疫苗、3 月 27 日复查肠胃。,"根据记忆中的记录：
[2026-03-09T10:30:00] 陈屿：带豆包去安康动物医院看软便了，挂的刘医生。
[2026-03-27T10:15:00] 陈屿：带豆包回安康动物医院复查肠胃。
[2026-03-09T11:10:00] 刘医生：顺便称了一下，9.2 公斤，这个月龄偏瘦一点点。
[2026-03-28T07:40:00] 陈屿：渴望这个粮吃了半个多月，便便一直是成型的，挺合适。
[2026-03-02T07:40:00] 陈屿：豆包早饭吃的还是皇家幼犬粮，一直吃这个牌子。
[2026-03-27T10:40:00] 刘医生：恢复得不错，益生菌可以停了。体重 10.1 公斤，这一个月长了差不多一公斤。
[2026-03-02T16:15:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-04T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。",错,缺少关键事实：(疫苗),,,pet-d08-01 pet-d19-01 pet-d26-01,pet-d08-01 pet-d26-01 pet-d08-03 pet-d27-01 pet-d01-01 pet-d26-02 pet-d01-03 pet-d03-03,0.667,0.68,21,228,
Q044,pet,cross_session,豆包的喂食量调整和它的体重变化之间有什么关系？,2026-03-31T20:00:00,3 月 21 日因偏瘦把每顿 80 克加到 100 克；此前 3 月 20 日体重 9.5 公斤，加量后 3 月 27 日复查涨到 10.1 公斤。,"根据记忆中的记录：
[2026-03-20T10:20:00] 刘医生：疫苗打完了，观察半小时没反应就可以走。体重 9.5 公斤，比上次长了点。
[2026-03-27T10:40:00] 刘医生：恢复得不错，益生菌可以停了。体重 10.1 公斤，这一个月长了差不多一公斤。
[2026-03-03T07:30:00] 陈屿：一直是早晚两顿，一顿 80 克，用量杯量的。
[2026-03-24T15:00:00] 陈屿：同事想喂豆包鸡胸肉干，我赶紧拦下了，它鸡肉过敏。
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-21T19:10:00] 陈屿：刘医生说豆包偏瘦，让加量，从今天起每顿从 80 克加到 100 克。
[2026-03-04T22:13:00] 陈屿：豆包睡在它自己的窝里，打呼噜。
[2026-03-05T22:11:00] 陈屿：豆包睡在它自己的窝里，打呼噜。",对,命中全部关键事实,,,pet-d20-01 pet-d19-02 pet-d26-02,pet-d19-02 pet-d26-02 pet-d02-01 pet-d23-01 pet-d04-01 pet-d20-01 pet-d03-01 pet-d04-04,1.0,0.89,23,244,
Q053,pet,refusal,豆包做过绝育手术吗？,2026-03-31T20:00:00,数据中从未提到绝育，应明确表示没有相关记录。,"根据记忆中的记录：
[2026-03-23T19:00:00] 陈屿：豆包今天学会握手了，教了三天，一说'握手'就把爪子抬起来。
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-24T15:00:00] 陈屿：同事想喂豆包鸡胸肉干，我赶紧拦下了，它鸡肉过敏。
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-03T21:04:00] 陈屿：豆包今天挺乖的，没拆家。
[2026-03-04T21:00:00] 陈屿：豆包今天挺乖的，没拆家。
[2026-03-07T21:07:00] 陈屿：豆包今天挺乖的，没拆家。
[2026-03-11T21:00:00] 陈屿：豆包今天挺乖的，没拆家。",错,没有明确表示不知道/无相关记录,,,,pet-d22-01 pet-d17-01 pet-d23-01 pet-d04-01 pet-d02-05 pet-d03-02 pet-d06-04 pet-d10-02,,0.38,10,198,
Q054,pet,refusal,豆包用的驱虫药是什么牌子？,2026-03-31T20:00:00,数据中从未提到驱虫，应明确表示不知道。,"根据记忆中的记录：
[2026-03-02T07:40:00] 陈屿：豆包早饭吃的还是皇家幼犬粮，一直吃这个牌子。
[2026-03-03T07:30:00] 陈屿：一直是早晚两顿，一顿 80 克，用量杯量的。
[2026-03-18T07:45:00] 陈屿：过渡期结束，现在豆包吃的是纯渴望成犬粮了。
[2026-03-23T19:00:00] 陈屿：豆包今天学会握手了，教了三天，一说'握手'就把爪子抬起来。
[2026-03-09T19:31:00] 陈屿：给豆包梳了梳毛，掉毛季地上全是。
[2026-03-10T19:29:00] 陈屿：给豆包梳了梳毛，掉毛季地上全是。
[2026-03-20T19:32:00] 陈屿：给豆包梳了梳毛，掉毛季地上全是。
[2026-03-22T19:24:00] 陈屿：给豆包梳了梳毛，掉毛季地上全是。",错,没有明确表示不知道/无相关记录,,,,pet-d01-01 pet-d02-01 pet-d17-01 pet-d22-01 pet-d08-06 pet-d09-03 pet-d19-05 pet-d21-03,,0.5,13,204,
Q055,pet,refusal,陈屿家除了豆包还养了别的宠物吗？,2026-03-31T20:00:00,数据中只出现过豆包一只狗，没有提到其他宠物，应说明没有相关记录。,"根据记忆中的记录：
[2026-03-02T16:15:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-04T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-07T16:16:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-09T16:18:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-12T16:14:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-16T16:17:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-23T16:17:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。
[2026-03-25T16:14:00] 陈屿：带豆包去了趟宠物店剪指甲，它全程发抖。",错,没有明确表示不知道/无相关记录,,,,pet-d01-03 pet-d03-03 pet-d06-03 pet-d08-05 pet-d11-01 pet-d15-01 pet-d22-02 pet-d24-02,,0.78,16,203,
Q056,pet,refusal,豆包上次洗澡是什么时候？,2026-03-31T20:00:00,数据中提到过剪指甲、梳毛、刷牙，但从未提到洗澡，应明确表示没有记录。,"根据记忆中的记录：
[2026-03-20T10:20:00] 刘医生：疫苗打完了，观察半小时没反应就可以走。体重 9.5 公斤，比上次长了点。
[2026-03-15T22:40:00] 陈屿：豆包今天打雷的时候钻到床底下不肯出来，抖得厉害。
[2026-03-05T18:30:00] 陈屿：买零食的时候得看配料，豆包对鸡肉过敏，吃了浑身起红点。
[2026-03-02T20:19:00] 陈屿：刷牙的时候它躲，只刷了前面几颗。
[2026-03-06T20:11:00] 陈屿：刷牙的时候它躲，只刷了前面几颗。
[2026-03-07T20:16:00] 陈屿：刷牙的时候它躲，只刷了前面几颗。
[2026-03-11T20:20:00] 陈屿：刷牙的时候它躲，只刷了前面几颗。
[2026-03-14T20:08:00] 陈屿：刷牙的时候它躲，只刷了前面几颗。",错,没有明确表示不知道/无相关记录,,,,pet-d19-02 pet-d14-01 pet-d04-01 pet-d01-04 pet-d05-02 pet-d06-02 pet-d10-04 pet-d13-04,,0.52,12,215,
Q009,robot,fact_recall,3月14日郑昊通知了充电桩的什么变动？,2026-03-31T20:00:00,因为 B1 东侧做管道改造，充电桩挪到 B1 西侧楼梯间旁边，地图已更新。,"根据记忆中的记录：
[2026-03-28T18:14:00] RB-07：返回充电桩，开始充电，当前电量 23%。
[2026-03-08T18:15:00] RB-07：返回 B1 东侧充电桩，开始充电。
[2026-03-14T18:30:00] RB-07：返回 B1 西侧充电桩，开始充电。
[2026-03-14T18:13:00] RB-07：返回充电桩，开始充电，当前电量 23%。
[2026-03-19T18:09:00] RB-07：返回充电桩，开始充电，当前电量 23%。
[2026-03-20T18:16:00] RB-07：返回充电桩，开始充电，当前电量 23%。
[2026-03-21T18:08:00] RB-07：返回充电桩，开始充电，当前电量 23%。
[2026-03-25T18:03:00] RB-07：返回充电桩，开始充电，当前电量 23%。",对,命中全部关键事实,,,rob-d13-01,rob-d27-04 rob-d07-01 rob-d13-02 rob-d13-03 rob-d18-04 rob-d19-02 rob-d20-04 rob-d24-05,0.0,0.7,18,169,
Q010,robot,fact_recall,3月8日 RB-07 报了什么故障？,2026-03-31T20:00:00,E-204 告警：左前轮在 1F 大厅湿滑地面打滑，原地空转约 5 秒。,"根据记忆中的记录：
[2026-03-02T16:53:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-04T16:51:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-07T16:54:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-15T16:57:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-17T16:56:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-20T16:52:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-21T16:56:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-24T16:55:00] 工程师-郑昊：看了下日志，今天没有异常告警。",错,缺少关键事实：(E-204|左前轮|打滑),,,rob-d07-02 rob-d07-03,rob-d01-02 rob-d03-02 rob-d06-05 rob-d14-03 rob-d16-03 rob-d19-03 rob-d20-05 rob-d23-04,0.0,0.42,11,201,
Q011,robot,fact_recall,3月12日郑昊说自己的工位有什么变化？,2026-03-31T20:00:00,从 2F-A12 搬到 3F-C03，以后东西送 3F。,"根据记忆中的记录：
[2026-03-12T09:20:00] 工程师-郑昊：我搬工位了，从 2F-A12 换到 3F-C03，以后东西送 3F。
[2026-03-02T16:53:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-04T16:51:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-07T16:54:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-15T16:57:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-17T16:56:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-20T16:52:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-21T16:56:00] 工程师-郑昊：看了下日志，今天没有异常告警。",对,命中全部关键事实,,,rob-d11-01,rob-d11-01 rob-d01-02 rob-d03-02 rob-d06-05 rob-d14-03 rob-d16-03 rob-d19-03 rob-d20-05,1.0,0.61,18,204,
Q012,robot,fact_recall,3月21日前台苏婷通知打印耗材放到哪里了？,2026-03-31T20:00:00,行政把耗材从 3F 储物间搬到了 2F 储物间，以后取件去 2F。,"根据记忆中的记录：
[2026-03-21T09:30:00] 前台-苏婷：行政把耗材从 3F 储物间搬到 2F 储物间了，以后取件去 2F。
[2026-03-05T10:10:00] 前台-苏婷：打印纸和硒鼓都在 3F 储物间，需要的时候让 RB-07 去取。
[2026-03-07T10:00:00] 前台-苏婷：林工到了，RB-07 带他去 2F 会议室。
[2026-03-19T14:30:00] 前台-苏婷：林工又来了，这次找郑昊，RB-07 带他上 3F。
[2026-03-03T10:28:00] 前台-苏婷：RB-07 今天看着挺利索的，没在门口卡住。
[2026-03-19T10:25:00] 前台-苏婷：RB-07 今天看着挺利索的，没在门口卡住。
[2026-03-21T10:27:00] 前台-苏婷：RB-07 今天看着挺利索的，没在门口卡住。
[2026-03-25T10:23:00] 前台-苏婷：RB-07 今天看着挺利索的，没在门口卡住。",对,命中全部关键事实,,,rob-d20-01,rob-d20-01 rob-d04-01 rob-d06-01 rob-d18-01 rob-d02-04 rob-d18-05 rob-d20-06 rob-d24-06,1.0,0.72,20,218,
Q021,robot,temporal_locate,3月16日下午 RB-07 报了什么告警？,2026-03-31T20:00:00,E-311 告警：激光雷达镜面积尘，测距置信度降到 0.62，触发降速。,"根据记忆中的记录：
[2026-03-02T16:53:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-04T16:51:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-07T16:54:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-15T16:57:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-17T16:56:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-20T16:52:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-21T16:56:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-24T16:55:00] 工程师-郑昊：看了下日志，今天没有异常告警。",错,缺少关键事实：(E-311|激光雷达),,,rob-d15-02 rob-d15-03,rob-d01-02 rob-d03-02 rob-d06-05 rob-d14-03 rob-d16-03 rob-d19-03 rob-d20-05 rob-d23-04,0.0,0.91,13,201,
Q022,robot,temporal_locate,上周三上午 RB-07 报了什么告警？,2026-03-31T20:00:00,E-508 告警：电池健康度告警，容量衰减至标称值的 81%。,"根据记忆中的记录：
[2026-03-08T11:30:00] RB-07：告警 E-204：左前轮打滑，在 1F 大厅湿滑地面上原地空转了约 5 秒。
[2026-03-25T08:40:00] RB-07：告警 E-508：电池健康度告警，容量衰减至标称值的 81%。
[2026-03-02T16:53:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-04T16:51:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-07T16:54:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-15T16:57:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-17T16:56:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-20T16:52:00] 工程师-郑昊：看了下日志，今天没有异常告警。",对,命中全部关键事实,,,rob-d24-02 rob-d24-03,rob-d07-02 rob-d24-02 rob-d01-02 rob-d03-02 rob-d06-05 rob-d14-03 rob-d16-03 rob-d19-03,0.5,0.54,13,211,
Q023,robot,temporal_locate,3月19日下午前台安排 RB-07 做了什么？,2026-03-31T20:00:00,引导第二次来访的林工从 1F 前台去 3F-C03 找郑昊。,"根据记忆中的记录：
[2026-03-07T10:00:00] 前台-苏婷：林工到了，RB-07 带他去 2F 会议室。
[2026-03-19T14:30:00] 前台-苏婷：林工又来了，这次找郑昊，RB-07 带他上 3F。
[2026-03-06T11:19:00] RB-07：在 1F 大厅巡航，识别到 3 名行人，已减速避让。
[2026-03-13T11:19:00] RB-07：在 1F 大厅巡航，识别到 3 名行人，已减速避让。
[2026-03-02T16:53:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-04T16:51:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-07T16:54:00] 工程师-郑昊：看了下日志，今天没有异常告警。
[2026-03-15T16:57:00] 工程师-郑昊：看了下日志，今天没有异常告警。",对,命中全部关键事实,,,rob-d18-01 rob-d18-02,rob-d06-01 rob-d18-01 rob-d05-02 rob-d12-03 rob-d01-02 rob-d03-02 rob-d06-05 rob-d14-03,0.5,0.7,15,201,
